,ds,y
0,2010-12-01,58635.56
1,2010-12-02,46207.28
2,2010-12-03,45620.46
3,2010-12-05,31383.95
4,2010-12-06,53860.18
5,2010-12-07,45059.049999999996
6,2010-12-08,44189.840000000004
7,2010-12-09,52532.13
8,2010-12-10,57404.91
9,2010-12-12,17240.920000000002
10,2010-12-13,35379.34
11,2010-12-14,42843.29
12,2010-12-15,29443.69
13,2010-12-16,48334.35
14,2010-12-17,43534.19
15,2010-12-19,7517.31
16,2010-12-20,24741.75
17,2010-12-21,47097.94
18,2010-12-22,6134.570000000001
19,2010-12-23,11796.31
20,2011-01-04,14950.48
21,2011-01-05,-1566.23
22,2011-01-06,37392.74
23,2011-01-07,27233.14
24,2011-01-09,15710.8
25,2011-01-10,24191.64
26,2011-01-11,67817.13
27,2011-01-12,23958.78
28,2011-01-13,20533.54
29,2011-01-14,47377.26
30,2011-01-16,7116.61
31,2011-01-17,29256.0
32,2011-01-18,18680.799999999996
33,2011-01-19,25585.81
34,2011-01-20,17995.91
35,2011-01-21,31978.44
36,2011-01-23,10285.95
37,2011-01-24,25555.62
38,2011-01-25,27971.52
39,2011-01-26,19493.32
40,2011-01-27,21092.14
41,2011-01-28,18567.77
42,2011-01-30,6456.4400000000005
43,2011-01-31,22364.65
44,2011-02-01,28433.22
45,2011-02-02,21048.45
46,2011-02-03,23344.58
47,2011-02-04,24994.17
48,2011-02-06,3457.11
49,2011-02-07,25525.99
50,2011-02-08,20728.14
51,2011-02-09,16692.58
52,2011-02-10,13427.54
53,2011-02-11,20387.28
54,2011-02-13,5535.4
55,2011-02-14,26222.03
56,2011-02-15,36842.58
57,2011-02-16,24730.81
58,2011-02-17,26361.87
59,2011-02-18,15928.4
60,2011-02-20,9578.89
61,2011-02-21,23807.829999999998
62,2011-02-22,32292.62
63,2011-02-23,26792.76
64,2011-02-24,22655.83
65,2011-02-25,18029.84
66,2011-02-27,9491.05
67,2011-02-28,21753.68
68,2011-03-01,25471.71
69,2011-03-02,18296.45
70,2011-03-03,35842.62
71,2011-03-04,19474.87
72,2011-03-06,9596.23
73,2011-03-07,30525.58
74,2011-03-08,25017.47
75,2011-03-09,21907.12
76,2011-03-10,25597.89
77,2011-03-11,21995.28
78,2011-03-13,4137.62
79,2011-03-14,25864.59
80,2011-03-15,20660.03
81,2011-03-16,21182.64
82,2011-03-17,38804.25
83,2011-03-18,16770.460000000003
84,2011-03-20,21980.64
85,2011-03-21,16370.27
86,2011-03-22,31312.35
87,2011-03-23,24029.07
88,2011-03-24,36562.1
89,2011-03-25,30656.03
90,2011-03-27,8979.98
91,2011-03-28,19207.03
92,2011-03-29,70531.47
93,2011-03-30,31489.25
94,2011-03-31,31004.08
95,2011-04-01,24391.78
96,2011-04-03,6878.1
97,2011-04-04,25073.02
98,2011-04-05,28353.829999999998
99,2011-04-06,17279.35
100,2011-04-07,18229.0
101,2011-04-08,23299.14
102,2011-04-10,9363.88
103,2011-04-11,22110.31
104,2011-04-12,25124.25
105,2011-04-13,23898.2
106,2011-04-14,35295.58
107,2011-04-15,28327.131
108,2011-04-17,12704.3
109,2011-04-18,32185.61
110,2011-04-19,23837.65
111,2011-04-20,28239.39
112,2011-04-21,31198.6
113,2011-04-26,30585.54
114,2011-04-27,25590.56
115,2011-04-28,21241.9
116,2011-05-01,6964.66
117,2011-05-03,19617.86
118,2011-05-04,27462.3
119,2011-05-05,28750.65
120,2011-05-06,35714.58
121,2011-05-08,18808.920000000002
122,2011-05-09,26060.43
123,2011-05-10,45564.12
124,2011-05-11,33240.36
125,2011-05-12,59911.97
126,2011-05-13,30744.07
127,2011-05-15,9924.28
128,2011-05-16,25279.77
129,2011-05-17,53603.83
130,2011-05-18,34337.29
131,2011-05-19,34348.75
132,2011-05-20,26256.52
133,2011-05-22,24205.37
134,2011-05-23,30739.55
135,2011-05-24,37028.909999999996
136,2011-05-25,24152.28
137,2011-05-26,33208.59
138,2011-05-27,28232.19
139,2011-05-29,7208.3
140,2011-05-31,21967.96
141,2011-06-01,20191.2
142,2011-06-02,32502.01
143,2011-06-03,16751.0
144,2011-06-05,25520.35
145,2011-06-06,16791.39
146,2011-06-07,37644.3
147,2011-06-08,42940.91
148,2011-06-09,45515.75
149,2011-06-10,22540.660000000003
150,2011-06-12,12483.86
151,2011-06-13,20372.93
152,2011-06-14,40211.93
153,2011-06-15,46139.18
154,2011-06-16,34131.73
155,2011-06-17,20800.72
156,2011-06-19,22360.01
157,2011-06-20,33493.4
158,2011-06-21,22730.01
159,2011-06-22,21794.94
160,2011-06-23,24273.31
161,2011-06-24,8619.88
162,2011-06-26,6175.17
163,2011-06-27,16823.86
164,2011-06-28,34704.64
165,2011-06-29,21775.43
166,2011-06-30,43834.55
167,2011-07-01,13171.82
168,2011-07-03,5977.14
169,2011-07-04,44154.75
170,2011-07-05,40334.97
171,2011-07-06,26279.58
172,2011-07-07,31357.72
173,2011-07-08,26840.079999999998
174,2011-07-10,5692.07
175,2011-07-11,22429.53
176,2011-07-12,25892.04
177,2011-07-13,11612.05
178,2011-07-14,32575.96
179,2011-07-15,14478.93
180,2011-07-17,17174.66
181,2011-07-18,28443.27
182,2011-07-19,49316.78
183,2011-07-20,27305.41
184,2011-07-21,30957.07
185,2011-07-22,20015.23
186,2011-07-24,26476.2
187,2011-07-25,26687.65
188,2011-07-26,21271.301
189,2011-07-27,25568.45
190,2011-07-28,55706.88
191,2011-07-29,18094.21
192,2011-07-31,33486.36
193,2011-08-01,21362.84
194,2011-08-02,14947.27
195,2011-08-03,27075.02
196,2011-08-04,61028.65
197,2011-08-05,21298.3
198,2011-08-07,7464.12
199,2011-08-08,19987.15
200,2011-08-09,26623.2
201,2011-08-10,27474.22
202,2011-08-11,72132.79
203,2011-08-12,10049.480000000001
204,2011-08-14,5150.18
205,2011-08-15,17205.54
206,2011-08-16,19103.71
207,2011-08-17,49392.22
208,2011-08-18,53225.67
209,2011-08-19,17248.54
210,2011-08-21,14549.210000000001
211,2011-08-22,27978.41
212,2011-08-23,25756.3
213,2011-08-24,37074.9
214,2011-08-25,22458.88
215,2011-08-26,25550.23
216,2011-08-28,10784.78
217,2011-08-30,31640.9
218,2011-08-31,16118.0
219,2011-09-01,37296.6
220,2011-09-02,41745.07
221,2011-09-04,17018.49
222,2011-09-05,36844.04
223,2011-09-06,28052.62
224,2011-09-07,34125.65
225,2011-09-08,26708.0
226,2011-09-09,29317.69
227,2011-09-11,35465.47
228,2011-09-12,29039.31
229,2011-09-13,54828.45
230,2011-09-14,23360.66
231,2011-09-15,62943.81
232,2011-09-16,25858.06
233,2011-09-18,15692.33
234,2011-09-19,46212.21
235,2011-09-20,109286.20999999999
236,2011-09-21,42944.07
237,2011-09-22,57076.83
238,2011-09-23,39426.48
239,2011-09-25,31210.921000000002
240,2011-09-26,28642.271
241,2011-09-27,35752.16
242,2011-09-28,43383.04
243,2011-09-29,43464.33
244,2011-09-30,43992.85
245,2011-10-02,11623.58
246,2011-10-03,64214.78
247,2011-10-04,48240.84
248,2011-10-05,75244.43
249,2011-10-06,55306.28
250,2011-10-07,47538.02
251,2011-10-09,11922.24
252,2011-10-10,44265.89
253,2011-10-11,38267.75
254,2011-10-12,29302.85
255,2011-10-13,37067.17
256,2011-10-14,35225.54
257,2011-10-16,21605.44
258,2011-10-17,47064.14
259,2011-10-18,44637.840000000004
260,2011-10-19,36003.43
261,2011-10-20,60793.14
262,2011-10-21,62961.26
263,2011-10-23,12302.41
264,2011-10-24,38407.72
265,2011-10-25,40807.49
266,2011-10-26,37842.08
267,2011-10-27,47480.15
268,2011-10-28,39559.47
269,2011-10-30,34545.28
270,2011-10-31,48475.45
271,2011-11-01,28741.55
272,2011-11-02,45239.06
273,2011-11-03,62816.55
274,2011-11-04,60081.76
275,2011-11-06,42912.4
276,2011-11-07,70001.08
277,2011-11-08,56647.66
278,2011-11-09,62599.43
279,2011-11-10,68956.24
280,2011-11-11,54835.51
281,2011-11-13,33520.22
282,2011-11-14,112141.11
283,2011-11-15,60594.23
284,2011-11-16,64408.7
285,2011-11-17,60329.72
286,2011-11-18,48031.8
287,2011-11-20,34902.01
288,2011-11-21,48302.5
289,2011-11-22,62307.32
290,2011-11-23,78480.7
291,2011-11-24,48080.28
292,2011-11-25,50442.72
293,2011-11-27,20571.5
294,2011-11-28,55442.02
295,2011-11-29,72219.2
296,2011-11-30,59150.98
297,2011-12-01,51410.95
298,2011-12-02,57086.06
299,2011-12-04,24565.78
300,2011-12-05,57751.32
301,2011-12-06,54228.37
302,2011-12-07,75076.22
303,2011-12-08,81417.78
304,2011-12-09,32131.529999999988
