recency,frequency,monetary
1,168,3174.62
74,19,601.64
18,66,1145.35
309,17,334.4
35,80,1505.74
203,4,89.0
231,56,971.24
213,11,264.4
22,33,708.93
32,75,1567.07
1,9,142.66
57,225,4239.53
51,121,1915.36
286,10,189.9
2,254,4600.53
109,21,413.28000000000003
7,83,1203.3
290,21,320.69
3,11,168.9
50,147,2272.28
59,57,1237.26
71,44,836.9399999999999
310,14,364.6
24,31,570.91
10,16,395.1
314,70,1213.02
129,214,3729.68
81,38,731.04
21,94,1765.47
4,84,1457.31
184,91,1413.22
28,25,425.27000000000004
366,6,144.3
15,83,1782.3400000000001
79,31,504.84000000000003
21,93,439.66
71,58,1193.5
63,22,420.91999999999996
18,147,2488.53
35,122,2036.4
45,82,1311.76
118,56,944.4
302,5,84.3
322,11,225.6
49,2,45.9
148,44,906.49
21,82,1833.99
49,71,1292.68
32,82,1366.29
78,13,389.19
308,25,533.33
74,55,932.34
66,36,656.4
216,15,372.81
24,107,1614.37
2,180,3019.9
112,30,428.63
63,29,600.39
15,43,695.04
95,38,683.5600000000001
0,121,1683.39
162,16,273.52
77,32,536.4
194,29,510.73
21,25,471.15999999999997
25,265,4930.4800000000005
8,63,1220.66
42,10,208.6
59,214,4008.17
42,64,1055.12
0,323,6353.54
84,48,713.54
267,2,78.0
99,12,286.36
1,179,3610.2
13,85,1534.65
366,11,173.55
2,12,172.06
20,153,3030.71
21,3,77.4
57,57,1002.3100000000001
242,25,431.49
43,20,300.45
21,179,3152.69
155,7,131.88
10,310,6132.5
16,20,304.67
133,43,707.09
72,76,1487.7
43,113,1971.76
85,53,1169.6299999999999
70,33,631.7
154,30,436.08
18,60,937.59
52,83,1344.78
9,15,317.5
16,47,742.1899999999999
187,37,658.74
1,346,7221.9
31,316,5054.83
28,160,2569.0
16,413,6770.68
53,34,621.68
15,196,3966.92
22,198,4100.9
3,35,545.99
10,30,473.2
27,147,2474.03
22,192,3795.82
16,60,1301.64
34,337,3837.32
9,48,884.84
335,15,334.93
4,229,4319.63
38,25,413.6
62,20,263.21000000000004
165,22,433.74
15,77,1246.1000000000001
81,3,83.4
20,23,403.70000000000005
22,37,640.84
336,148,2025.39
95,133,2285.87
17,5,92.65
232,23,73.5
133,11,251.76000000000002
25,68,397.88
283,5,77.5
142,28,499.45
65,31,132.18
112,34,558.29
266,50,957.98
352,15,278.7
77,13,330.88
27,277,2337.6
0,120,1852.83
63,16,276.84
78,147,2300.54
142,37,545.68
38,12,192.72
18,106,1789.77
8,117,2091.42
0,70,1244.66
81,16,247.91000000000003
8,85,1552.33
59,61,1301.18
14,17,125.22
29,15,304.83000000000004
130,62,981.18
91,32,627.25
58,254,4017.81
28,21,363.95
21,263,4595.85
19,409,7646.94
29,50,849.48
35,18,316.7
74,48,832.39
46,67,1021.5
197,8,207.79999999999998
165,5,95.19999999999999
78,56,824.83
357,10,168.0
39,19,317.82
7,185,3284.06
49,119,599.56
157,3,81.6
7,9,145.16
319,17,289.46
4,100,1732.21
302,16,238.85
7,152,2673.26
260,20,402.9
288,9,145.92
85,18,297.65
22,421,7485.13
1,179,3477.14
39,34,519.61
8,56,809.22
226,28,160.54000000000002
315,11,218.45
35,88,1315.83
34,146,626.6
20,107,2124.31
77,28,386.42
246,24,415.7
39,15,197.71
238,21,391.36
2,193,3855.16
3,85,1647.2
233,80,1417.9
16,11,196.94000000000003
7,4,144.0
38,10,214.89999999999998
28,33,541.68
210,3,119.99999999999999
316,25,368.85
91,18,437.6
108,21,418.09999999999997
46,103,2453.59
50,24,384.03
18,202,3178.22
9,119,2288.86
28,60,927.58
28,44,802.64
189,27,501.46
58,12,153.12
78,16,254.18
59,101,1579.51
77,59,1036.85
22,104,1827.54
51,64,1049.32
73,12,312.54
56,145,2809.78
277,20,315.6
1,97,1766.79
94,29,538.4
28,41,352.98
21,11,177.31
15,69,1333.48
14,92,1339.41
1,401,7185.61
231,11,180.1
275,18,305.1
105,38,641.13
211,69,1260.02
22,273,4912.23
10,220,3860.23
3,40,736.46
9,62,1030.88
56,30,480.5
58,97,1539.78
89,99,1509.18
66,366,5092.19
32,38,511.69
238,21,366.1
23,49,903.32
114,10,185.9
24,43,734.14
171,6,126.24000000000001
129,31,477.91
33,66,1341.98
4,37,850.65
21,98,1837.82
154,20,273.3
106,29,499.61
2,18,147.64000000000001
334,9,114.0
330,46,747.1800000000001
148,28,582.02
10,38,601.98
16,104,2142.77
10,36,744.48
18,35,632.05
29,5,91.68
10,13,245.1
0,230,3849.78
15,12,304.0
324,3,63.0
57,32,460.13
11,150,2684.13
150,98,1427.73
9,71,1686.61
329,8,133.95
4,41,565.52
38,76,1447.94
24,41,989.39
42,51,1210.45
58,44,812.06
0,52,862.81
14,589,10285.98
3,484,8938.07
3,305,5225.51
7,98,1845.99
27,150,2442.68
371,7,89.14
113,146,2827.45
25,70,1132.6499999999999
205,14,285.01
27,27,542.6
126,38,764.11
69,30,507.12
6,24,414.1
28,37,670.54
7,259,4229.2699999999995
79,53,797.71
19,12,219.0
70,21,283.55
6,78,1448.48
14,311,5311.29
291,30,433.42
29,156,2659.81
14,143,3224.52
96,76,1077.02
28,103,2288.9300000000003
0,34,628.5
8,246,3848.36
105,19,263.36
3,68,999.49
150,53,830.98
70,19,238.25
4,39,644.95
2,342,5046.97
31,156,2375.33
84,51,856.63
3,67,613.02
4,51,927.61
370,23,371.8
27,116,2218.5
10,114,2080.38
70,46,836.33
113,26,453.01
23,115,3013.45
179,12,236.26000000000002
233,21,307.45
352,2,16.8
314,39,591.3199999999999
371,11,155.35
77,33,531.54
63,27,427.6
133,131,540.13
55,132,2937.14
1,84,1959.01
0,4331,23935.48
3,193,3691.86
128,15,275.88
80,23,585.62
22,31,905.1999999999999
276,49,61.62
280,3,17.549999999999997
86,3,50.879999999999995
15,343,3243.55
116,75,1573.89
51,93,1441.44
7,58,997.97
368,15,260.08
316,32,741.33
3,290,5580.31
238,23,456.84000000000003
59,54,752.47
16,62,1184.6399999999999
19,48,723.23
37,132,2896.54
63,19,498.84
4,95,1764.42
1,79,1323.87
14,56,476.82
363,13,255.95
9,19,401.26
64,4,91.85
191,21,324.92
373,1,15.0
256,24,344.53999999999996
334,22,423.48
52,43,756.01
18,11,219.78
365,13,254.03
186,25,427.58
36,28,483.65000000000003
177,24,405.31
260,31,514.85
44,15,229.64000000000001
101,1,40.0
147,45,863.46
95,28,492.20000000000005
280,3,106.63999999999999
261,4,75.60000000000001
2,59,942.34
213,6,92.72
70,45,846.88
59,24,349.42
2,91,1474.72
5,24,385.6
2,54,928.26
336,9,162.25
261,9,215.05
31,27,383.03
144,24,417.38
282,18,312.38
58,169,2316.26
172,12,134.1
33,120,671.95
2,308,5287.82
143,109,2490.77
4,410,3705.06
69,25,445.21000000000004
65,100,1532.46
28,52,325.96000000000004
268,25,71.79
21,83,796.8399999999999
30,43,661.6899999999999
96,47,131.81
294,17,311.55
134,70,1426.5
78,106,1092.55
372,3,38.1
7,310,2120.86
210,42,899.05
51,2,49.8
137,2,27.599999999999998
25,95,1568.23
282,24,449.37
25,530,3785.04
185,107,1607.0600000000002
83,9,135.84
326,66,599.97
57,76,1549.02
3,151,1298.17
235,47,854.99
44,5,91.72
275,6,103.0
24,42,703.47
87,6,139.05
62,70,1128.42
67,82,1378.4
254,1,25.200000000000003
23,78,331.71999999999997
292,1,42.0
30,31,176.55
41,22,372.8
204,1,29.700000000000003
9,60,1036.6299999999999
264,10,138.68
17,70,445.06
11,42,908.3299999999999
39,83,1338.87
22,44,965.32
7,8,290.7
4,33,804.11
148,22,363.65
138,90,1876.3
7,45,949.31
16,27,162.78
8,662,12841.630000000001
160,28,405.38
63,28,172.82
87,20,232.84
4,45,694.05
34,79,1637.5
311,8,117.85
77,25,415.8
66,4,76.96
23,105,555.03
1,129,2160.7
16,55,616.3
14,117,1279.8700000000001
25,9,114.14
54,95,848.69
130,70,675.6
35,30,604.51
287,22,404.95
143,94,1355.19
15,115,2018.15
30,214,4103.62
7,11,284.2
8,63,1064.07
5,79,1387.79
9,17,329.85
0,162,3437.44
305,19,108.07
9,235,3841.2400000000002
6,16,266.39
7,92,1708.58
88,108,769.8100000000001
9,10,160.18
371,4,81.7
111,4,74.75
6,129,405.47
3,237,4840.32
197,8,144.8
211,19,303.6
155,9,39.239999999999995
29,20,372.21999999999997
242,28,390.54
18,4,97.5
0,74,1149.02
73,27,508.75
291,83,505.82
8,27,130.63
30,12,351.0
22,30,461.26
22,27,414.76
3,61,974.4200000000001
84,2,76.32000000000001
21,55,939.61
204,27,379.38
259,30,458.53000000000003
3,301,5022.2
317,7,120.94999999999999
150,5,89.05000000000001
11,404,5655.91
173,25,438.7
55,4,81.57
322,14,229.46999999999997
371,3,50.550000000000004
8,87,1596.44
0,206,3996.54
10,86,1745.43
52,173,2992.62
72,47,789.89
15,454,7039.02
3,122,2131.11
63,38,599.9
0,36,614.28
22,45,661.3199999999999
30,7,116.5
10,90,660.19
51,70,960.68
356,11,190.55
54,37,642.77
73,20,434.28000000000003
137,47,833.6700000000001
79,22,383.76
8,43,676.99
272,9,231.82
290,31,458.47
98,18,305.28000000000003
30,34,544.3100000000001
31,168,3014.96
13,134,1772.21
63,9,199.18
14,399,5615.06
211,17,280.3
77,76,1214.41
24,7,147.65
249,7,94.15
253,14,246.33
71,8,147.06
190,8,133.5
12,66,1001.59
372,14,205.86
23,48,470.8
81,15,115.46000000000001
0,410,3402.28
191,9,228.8
266,7,177.15
129,14,385.01
0,109,601.66
2,270,4530.62
3,5,124.9
178,6,58.08
11,873,16002.28
125,59,1061.79
3,18,303.75
157,21,356.08000000000004
3,1484,29316.84
8,107,1759.1499999999999
27,21,345.82
70,25,477.83
275,88,1629.65
70,6,74.39999999999999
32,405,5092.67
0,357,7069.889999999999
233,8,101.19
0,283,5104.49
39,6,141.94
2,12,264.12
43,47,844.98
372,7,156.26
59,46,735.54
30,144,1440.97
0,132,1728.27
11,116,2086.78
137,30,501.14
21,76,984.91
19,72,804.63
238,1,30.599999999999998
268,50,283.73
93,55,922.39
89,213,3153.18
4,137,1958.34
77,15,259.17
93,2,64.0
22,40,690.0
261,2,32.3
273,7,109.8
85,95,1627.68
55,122,2365.81
10,687,3603.29
21,63,962.39
15,144,3324.96
107,45,422.47
84,131,2139.75
18,23,307.09
332,2,47.2
91,2,40.92
25,15,132.91
28,309,3510.36
13,83,1460.36
295,74,1257.8700000000001
5,13,227.82000000000002
32,84,924.96
48,85,1631.72
94,79,1201.06
8,119,1354.65
21,4,91.8
312,8,112.75
121,73,1357.09
45,35,531.8
282,41,417.2
18,65,791.33
35,124,1193.39
63,9,217.28
26,30,108.81
21,44,335.21
3,43,353.65
15,290,2598.93
45,67,481.49
64,17,282.45
25,245,4645.99
44,11,121.18
7,61,971.48
14,176,1503.65
39,76,1427.39
336,37,236.02
10,1,15.0
18,29,260.68
94,63,911.94
60,25,112.08
135,3,60.7
10,109,1744.68
9,226,3401.2400000000002
7,44,1061.7
18,43,680.67
9,57,869.46
14,7,178.86
58,146,1125.45
29,305,4957.49
93,22,353.48
9,51,483.42
19,140,736.83
56,87,1342.38
267,1,10.5
126,5,62.63999999999999
77,14,172.44
239,65,788.01
199,4,62.4
59,99,1424.59
272,16,108.21000000000001
201,7,129.0
225,10,160.95
3,584,2582.22
12,202,1328.35
73,42,558.32
211,54,785.67
24,36,744.85
22,30,596.73
261,20,285.01
95,67,663.65
111,13,270.40000000000003
202,57,585.12
92,27,121.74000000000001
50,16,430.5
17,127,1009.08
21,22,360.0
124,26,465.68
92,19,127.73
156,32,628.88
8,11,259.71
11,33,488.68
61,81,283.18
60,4,82.32000000000001
262,10,149.29
0,1664,7206.53
52,83,1398.66
10,175,2993.6
2,201,3966.33
17,431,3054.75
0,303,4388.62
36,87,211.49
30,15,276.56
112,16,138.98
63,29,544.9300000000001
15,6,159.4
40,46,542.73
77,9,137.75
121,82,798.46
17,26,490.54
59,7,93.66
330,13,201.19
22,187,2709.12
155,42,361.11
38,31,578.9399999999999
189,54,873.74
359,10,201.20000000000002
136,5,87.4
7,45,1139.3
267,4,82.80000000000001
168,20,371.89
103,81,618.09
350,21,300.42
3,75,1678.36
119,1,15.0
22,48,872.47
6,107,1456.79
27,72,1132.03
3,22,338.81
21,77,1495.92
1,62,775.94
36,44,217.53
65,124,2273.68
0,15,289.88
4,441,8633.73
77,105,1532.2
85,8,175.64
16,24,154.48000000000002
2,17,392.75
35,5,82.80000000000001
81,6,89.3
38,81,1842.8400000000001
315,7,175.68
31,10,221.58
92,50,953.73
13,21,350.9
81,260,3218.52
76,51,795.12
157,16,255.22
200,54,860.12
44,43,1208.99
260,41,688.25
177,18,303.43
67,113,2030.09
287,19,339.5
69,5,186.95999999999998
63,14,233.76
10,15,197.32
15,33,595.17
65,15,323.94
59,23,347.97999999999996
70,51,743.53
121,31,572.7
79,39,630.84
256,89,609.4
268,28,389.03
63,22,389.56
8,164,2971.94
17,58,892.5
70,10,134.95999999999998
33,126,2097.87
256,26,478.0
365,13,258.28000000000003
371,39,754.87
89,22,328.64
60,150,2780.0
88,36,676.65
98,50,869.76
25,97,572.56
31,167,3288.31
280,15,222.99
30,138,2980.51
329,34,484.67
130,33,574.05
10,51,797.96
74,9,185.88
1,149,2088.92
184,21,307.72
28,35,808.85
72,25,549.84
191,26,457.34
126,37,517.73
17,2,30.0
0,10,188.74
73,27,572.451
1,229,5431.0
23,16,303.06
106,18,213.55
133,20,471.78
43,14,378.3
4,28,640.83
11,277,3967.7
63,16,221.06
149,8,159.85
39,97,1519.91
63,121,2292.04
107,72,1187.89
0,134,1806.3700000000001
18,27,456.2
9,71,201.78
10,66,955.8
18,48,628.45
66,40,745.9
73,7,128.64000000000001
4,69,1006.47
1,12,196.89
13,161,2963.91
254,54,283.71
91,11,168.32
22,56,983.13
16,178,2675.59
23,19,291.88
26,57,1183.08
25,433,2898.2599999999998
165,17,356.97999999999996
24,42,842.84
17,55,1016.82
6,341,6813.53
28,17,183.44
38,10,329.8
252,9,151.5
57,41,674.68
183,17,307.9
10,98,1071.91
1,292,4968.62
98,10,165.0
0,253,2456.84
60,20,377.64
235,62,226.84
190,85,1355.46
178,56,988.47
37,76,1292.1599999999999
200,15,300.95
45,109,1804.56
231,11,184.64
65,10,140.34
240,5,111.3
232,22,383.44
77,69,1122.41
57,34,575.4
16,398,7249.04
104,11,168.48
51,86,1215.82
135,44,928.14
286,3,80.35
311,18,316.26000000000005
7,34,811.62
10,33,531.53
282,19,348.05
17,37,826.5500000000001
22,65,1166.77
287,46,815.72
16,17,232.6
70,17,216.85
63,22,295.93
72,208,3446.73
315,26,458.52
2,162,2479.16
243,12,110.97
8,41,746.6800000000001
0,115,1791.56
260,15,251.21
126,9,145.1
73,4,152.20000000000002
72,59,891.12
20,39,635.41
59,141,2128.42
85,36,627.16
77,8,122.75
58,73,1551.35
0,418,1071.73
29,5,125.80000000000001
32,157,2725.64
40,27,680.1800000000001
14,1,23.9
33,217,2242.36
78,13,206.06
204,22,483.8
33,66,210.31
182,75,269.09
1,296,5870.08
0,167,2667.52
120,7,208.65
85,37,631.34
39,78,276.06
11,97,621.09
95,122,623.98
25,50,873.2
318,4,91.80000000000001
65,82,1975.69
73,109,2346.06
27,33,524.06
5,169,594.52
6,32,171.42000000000002
215,13,60.26
81,78,1586.48
83,44,333.13
353,78,1072.63
18,38,240.22
40,168,809.24
172,43,187.05
16,79,338.62
242,27,239.49
12,340,2088.94
205,22,539.73
49,25,290.25
22,46,732.0699999999999
9,92,1410.4
24,79,1441.9
14,22,419.34
308,10,118.0
155,53,781.03
306,24,142.4
63,5,134.4
15,174,2478.95
14,21,379.65
10,79,1380.1200000000001
64,57,1040.63
35,16,247.95999999999998
107,124,1854.5800000000002
52,26,396.97
5,146,664.11
46,35,160.04
0,225,3569.76
311,18,174.67000000000002
44,99,693.32
64,23,428.89
25,27,164.34
28,40,276.75
39,97,675.51
11,215,1082.33
88,71,1093.56
23,194,1534.6100000000001
318,23,417.69
39,43,486.43
173,13,177.34
116,19,213.85
30,75,498.46
252,19,257.23
58,91,1434.95
142,20,336.36
4,60,932.94
177,1,40.0
24,142,1957.65
32,185,1496.3600000000001
67,61,1026.03
36,63,949.12
51,99,804.3
15,8,122.64
73,37,623.12
215,57,312.28
30,28,519.44
15,146,2624.26
119,2,50.5
9,77,1440.6200000000001
256,22,263.2
16,93,1656.14
34,6,94.2
45,63,1095.08
42,164,2603.23
113,56,932.97
164,49,379.65
10,13,217.74
9,102,2090.27
205,101,1430.8
85,52,881.26
178,13,189.47
59,12,84.65
148,83,299.05
2,446,4688.37
50,9,218.55
74,25,349.7
300,5,132.39000000000001
18,59,337.94
150,25,486.82000000000005
151,16,232.6
0,177,1756.18
17,57,827.83
186,3,59.5
285,29,65.13
2,28,20.92
182,8,72.0
62,1,15.0
58,8,127.4
24,43,612.2
3,126,3292.83
30,79,1675.81
38,12,151.29999999999998
154,14,308.58000000000004
25,185,1698.63
4,132,2206.06
7,25,433.38
302,20,330.79
266,46,701.5600000000001
270,49,285.33
3,325,5332.78
31,7,113.28
218,13,252.06
246,10,228.84
280,104,1077.39
268,21,138.28
31,102,1445.01
245,11,194.95
14,59,989.48
116,42,720.7
35,28,524.14
131,69,1393.13
216,4,102.9
49,98,1545.56
38,37,473.15999999999997
28,19,285.78000000000003
36,63,1016.14
135,43,752.6
218,38,610.59
27,33,491.86
24,188,2476.89
4,190,729.8
199,29,265.65
17,1,41.7
240,23,350.75
71,33,620.73
16,309,2916.72
2,36,1028.52
94,63,1080.52
161,25,300.04
95,24,438.25
53,18,306.62
287,7,83.55000000000001
123,70,910.38
287,33,606.26
151,10,186.6
3,319,2000.96
1,107,2376.96
11,103,2071.22
70,23,402.49
53,57,286.79
49,70,1070.65
218,5,133.2
70,207,1519.42
1,254,5754.9400000000005
1,129,2182.4300000000003
63,110,2035.95
33,170,953.98
81,22,345.0
8,68,1593.5
102,9,178.7
6,56,274.21
250,17,127.84
12,113,908.86
9,12,383.31
366,6,148.8
75,31,309.04
3,45,348.8
65,13,195.55
0,49,633.3299999999999
116,37,592.56
309,32,511.52
66,23,324.8
138,22,317.71999999999997
254,17,277.07
30,131,2358.73
51,7,239.39999999999998
63,9,190.98000000000002
366,7,112.6
5,69,1253.3600000000001
304,12,155.05
28,27,482.56
183,8,319.5
41,36,539.0
39,65,1153.8600000000001
91,49,1010.62
21,164,3136.58
23,26,464.57
28,24,382.98
301,27,659.95
144,59,385.64
5,95,508.09999999999997
18,35,596.4
32,35,776.54
175,10,189.5
57,92,409.8
21,15,209.49
15,57,566.15
18,3,52.199999999999996
158,28,383.85
24,55,834.57
211,17,221.59
5,165,674.82
58,204,3285.02
10,20,361.62
64,7,165.98000000000002
24,55,865.0600000000001
51,101,1537.95
128,93,1595.48
95,76,1398.3
56,16,462.9
8,46,962.47
168,11,150.9
56,11,216.17
325,28,201.16
0,76,1245.9
17,137,2119.36
247,20,305.78
57,30,501.56
73,7,145.67000000000002
30,59,941.49
38,31,459.84
122,304,3083.65
1,107,1843.94
22,324,5762.45
119,23,389.6
357,16,280.1
53,103,1608.59
63,7,122.7
85,2,47.64
54,26,662.65
20,160,2970.62
66,47,961.28
2,63,1081.28
10,140,2578.48
6,58,718.3000000000001
188,27,455.8
70,16,243.56
203,19,349.55
119,39,595.67
92,12,265.7
0,110,1883.8100000000002
63,24,395.73
297,18,368.1
23,25,443.3
27,112,2091.52
49,16,258.06
325,12,155.93
15,18,337.52
182,42,638.95
71,147,2760.45
36,26,332.64
79,116,1960.19
56,144,2238.31
11,31,521.15
49,18,272.04
49,25,585.0
58,28,384.81
351,7,172.25
53,20,351.13
1,117,1838.8500000000001
92,41,678.25
22,11,223.85000000000002
74,21,348.99
10,27,464.57
168,5,143.25
57,17,337.34
95,57,982.53
294,16,307.4
108,19,401.19
263,26,572.1
179,26,376.58
168,9,158.85
34,7,71.66
22,45,568.55
16,49,839.14
21,14,340.32
78,6,64.05
64,5,90.6
360,2,55.2
2,155,2073.17
10,31,518.8
175,39,674.45
217,129,2819.021
6,12,222.08
1,25,439.92
153,32,271.96
4,146,970.26
78,89,551.54
20,11,159.42000000000002
21,11,169.55
307,34,604.54
145,1,35.7
6,591,6543.55
18,148,2708.46
70,15,190.25
286,10,196.7
48,28,413.59000000000003
30,325,2277.73
206,6,109.82
14,15,196.79000000000002
72,54,869.87
59,10,152.94
38,106,1486.01
39,98,1315.99
26,12,239.63
3,342,6722.42
16,12,239.82
19,227,3743.64
65,32,524.56
212,16,311.3
11,82,852.88
29,5,76.8
42,107,2179.06
3,147,2224.64
14,86,1393.69
9,198,3316.59
210,7,186.36
45,24,530.2
133,47,529.73
42,154,3476.5
9,64,1104.32
115,26,519.55
197,42,695.61
277,11,328.8
109,34,473.02
76,39,505.18
52,8,151.5
161,143,2584.53
46,61,1040.4099999999999
16,39,642.8
154,18,365.5
224,28,440.0
6,30,539.52
121,16,327.7
60,6,104.82
62,10,191.46
17,238,1797.64
6,140,2625.1600000000003
15,130,2130.5499999999997
21,83,456.09
28,58,909.72
284,38,626.65
175,28,147.20000000000002
77,92,1560.38
32,5,82.6
40,218,2745.2200000000003
265,21,141.41
26,205,596.47
283,14,154.99
8,25,517.77
304,85,409.93
16,466,4771.22
31,54,746.36
0,83,2235.19
19,56,225.36
159,2,41.75
64,6,92.46
105,6,128.04
0,1082,7843.0
23,255,4049.12
266,7,132.6
4,159,2722.54
9,34,716.13
28,74,839.9399999999999
266,7,152.55
63,52,374.7
319,24,265.85
3,323,1437.57
31,13,151.04
4,41,808.64
128,44,118.67
77,40,366.7
101,59,417.42
124,10,148.9
32,4,45.599999999999994
301,150,921.62
364,29,182.25
3,177,1002.9
1,444,4231.54
2,68,191.47
9,159,4248.2
56,13,158.75
7,203,3533.76
11,100,433.86
3,4948,42436.14
36,20,86.15
15,246,2788.89
137,25,191.95000000000002
294,3,28.15
4,48,551.18
154,20,131.21
238,71,1122.68
51,115,2238.08
30,33,538.51
72,9,144.2
36,130,2385.07
13,4,78.3
22,159,2813.15
3,27,492.22
273,14,296.83
19,70,1243.66
143,3,90.0
3,155,2544.69
83,2,48.08
10,165,2672.83
10,11,213.35000000000002
122,44,709.71
60,46,637.5
1,51,1078.8600000000001
318,66,480.91
1,189,2972.99
129,28,605.64
1,100,1888.4
1,44,815.88
45,25,354.62
3,66,935.05
2,36,701.23
372,22,311.81
133,7,115.8
8,203,3377.9
77,1,15.0
233,2,29.700000000000003
220,28,446.62
35,23,370.24
74,49,621.29
238,47,830.52
265,6,118.75
9,855,14027.73
19,46,424.89000000000004
39,41,507.66
19,1174,4579.35
215,104,1097.6200000000001
173,25,289.36
86,28,485.40999999999997
80,17,374.4
275,24,120.44
38,50,562.59
97,58,363.79
10,28,315.84000000000003
32,26,134.46
59,140,2731.05
296,31,576.9000000000001
85,38,291.65999999999997
8,317,1540.8600000000001
40,157,701.57
10,232,4169.47
66,24,452.89
330,2,32.65
30,60,1769.96
1,255,4076.19
1,252,4219.06
67,41,779.39
4,557,9878.48
251,1,39.8
106,4,90.72
17,39,701.4
217,1,10.2
59,34,566.36
1,39,150.61
16,24,466.7
238,20,328.15999999999997
94,10,151.74
10,81,1638.13
105,101,1854.8400000000001
52,109,1971.5
30,67,1004.38
11,108,1789.72
2,51,926.15
1,96,1707.5
42,12,169.48000000000002
3,7,89.94
246,17,353.57
41,189,3089.6
176,41,683.17
91,60,991.13
109,110,840.38
28,49,870.69
25,173,3229.16
51,28,501.4
183,49,845.8100000000001
42,112,1903.17
48,25,540.82
21,146,709.12
74,54,1001.4
80,13,180.06
372,9,161.0
325,8,146.85
42,107,2089.7000000000003
29,40,762.39
183,9,147.3
234,16,280.55
8,139,2470.57
219,108,1693.45
110,75,1474.06
277,20,136.76999999999998
317,7,98.58
6,111,1904.05
1,55,1111.74
259,51,879.0600000000001
63,93,1891.02
89,10,278.2
141,5,120.0
50,48,939.49
7,138,2304.61
154,16,286.37
108,31,530.18
162,48,1091.94
331,29,492.65000000000003
225,10,112.32
73,33,437.96
50,29,559.97
98,63,1074.89
14,212,3464.66
196,8,134.04
2,146,2850.7400000000002
30,32,595.25
20,13,293.93
23,271,4093.25
7,9,176.63
212,13,261.0
8,44,728.5600000000001
