recency,frequency,monetary
10,95,1755.99
1,235,3703.85
7,80,1561.63
2,58,909.76
39,3,65.4
17,61,1245.33
7,1326,27959.67
7,132,2470.3
18,3,43.2
116,5,122.8
222,16,335.75
70,100,1621.3600000000001
50,18,407.91999999999996
88,176,2803.07
7,109,1795.1000000000001
242,20,310.26
46,86,1545.59
106,7,73.2
44,92,2006.13
64,23,442.58
206,31,477.79
10,122,1447.35
114,36,605.0600000000001
241,7,123.85000000000001
162,10,187.75
16,253,4686.16
123,28,462.65999999999997
22,16,251.97
67,12,213.20000000000002
16,160,2436.21
15,60,454.86
16,88,1524.91
160,30,537.22
242,13,248.32
218,6,134.7
44,127,2081.06
20,17,260.0
126,69,757.9300000000001
38,6,108.97999999999999
120,59,936.58
259,16,271.87
9,31,133.5
273,18,282.93
156,45,963.3100000000001
214,6,90.6
5,9,163.62
365,11,174.4
79,31,521.83
42,40,225.12
18,55,912.18
31,114,1932.53
21,37,151.5
108,49,944.7
7,505,7796.26
319,8,155.0
294,4,100.5
357,4,76.55
184,66,235.56
190,6,160.85000000000002
43,46,348.1
51,56,202.68
25,126,615.49
37,56,1008.54
8,14,202.11
296,7,142.4
32,137,1601.44
9,185,3150.44
64,42,837.0600000000001
9,264,3176.78
217,5,67.95
1,347,3435.36
64,73,487.99
2,66,1266.68
148,22,363.98
3,164,2656.42
216,7,64.35
33,95,1165.22
118,8,156.75
106,60,979.48
10,81,1064.87
70,45,874.57
91,188,1049.27
42,42,688.43
361,22,121.05
91,95,1384.42
0,575,5669.52
21,12,189.5
3,119,1619.67
10,202,1051.79
98,29,387.52
56,20,315.36
0,218,4023.34
217,1,20.4
23,211,3341.33
49,16,318.34000000000003
6,135,1103.19
302,15,346.16
9,375,2093.9
98,9,89.06
365,5,63.0
305,9,131.9
319,4,81.3
7,35,894.88
0,36,849.09
204,53,1052.62
53,93,1420.2
0,277,1010.35
18,70,1163.23
8,19,137.75
18,250,885.8
180,40,483.25
59,105,643.9
10,60,259.05
189,22,119.93
4,947,3017.28
310,3,68.64
154,22,632.2
109,16,434.34
147,177,1916.86
65,233,1980.57
170,2,54.599999999999994
246,118,477.14
28,56,1134.25
17,89,596.26
11,42,411.19
103,264,1802.77
73,6,149.34000000000003
45,29,547.66
71,41,806.45
256,17,193.0
50,2,83.2
253,18,316.25
10,12,229.13
164,29,589.31
17,131,1197.81
281,9,137.1
49,14,321.92
38,46,162.8
26,139,1114.48
67,44,781.08
206,30,463.38
174,15,246.43
6,115,2125.02
25,7,139.56
50,6,123.8
311,17,314.77
308,29,475.37
42,188,1538.45
25,190,808.44
87,3,63.45
183,10,251.21
19,606,2250.73
2,149,2579.16
46,107,673.26
16,776,5396.71
16,294,1915.65
39,92,1035.03
21,55,268.05
10,67,1264.8899999999999
187,23,275.28
206,8,60.0
60,65,770.6
17,88,1513.51
32,18,330.45
63,16,174.37
1,2,43.2
91,8,165.85999999999999
107,11,194.29000000000002
31,194,1597.43
19,269,2857.6
2,967,8247.83
36,17,319.21999999999997
59,213,578.61
25,208,2535.77
235,63,885.15
24,49,1036.08
2,502,3867.98
59,326,2748.19
259,17,119.95
57,7,210.95999999999998
64,18,335.15
15,32,537.48
9,71,952.66
58,99,1092.75
185,5,103.25
28,46,846.99
23,101,1373.67
4,397,2573.93
3,351,3739.75
310,56,289.24
10,41,402.29
17,10,186.23
151,57,164.22
18,112,694.27
9,198,1991.37
56,18,251.7
84,7,132.04
6,62,1236.57
75,69,1080.76
3,406,4137.87
95,113,2336.42
56,16,422.40000000000003
0,10,50.75
280,28,140.71
2,257,2453.2400000000002
179,226,1594.97
371,1,35.400000000000006
12,123,859.71
2,24,168.63
16,17,138.6
40,6,114.11
5,302,986.96
168,97,969.26
49,29,157.05
276,19,237.36
18,371,1580.29
371,3,39.75
14,174,1211.71
34,158,557.94
21,150,542.15
6,52,363.33
19,100,1636.6
10,39,325.2
43,50,221.97
305,25,393.33000000000004
10,6,123.96000000000001
0,2668,11261.34
18,3,45.300000000000004
3,5,89.4
284,1,10.08
8,11,264.6
245,20,394.44
205,26,412.78000000000003
0,90,1677.96
184,21,320.58000000000004
31,132,826.7
56,13,225.85
195,53,899.63
23,117,2322.67
90,20,424.26
3,150,955.26
50,36,608.28
262,8,114.56
265,20,344.90000000000003
35,27,566.89
50,13,291.3
51,170,2879.49
23,99,1808.73
21,7,110.46
58,1,19.8
169,27,450.36
67,22,446.32000000000005
156,29,495.09000000000003
1,417,6873.82
200,27,137.04
4,182,1137.39
66,101,653.75
76,29,114.18
0,232,1765.75
7,36,876.28
168,80,291.05
17,126,848.22
4,29,247.15
8,253,2529.93
86,28,159.38
26,3,41.05
28,156,696.37
19,98,636.24
60,87,1655.35
23,14,195.25
10,537,7174.38
241,166,1259.24
279,123,392.86
234,60,721.0
2,69,1315.2
15,96,535.52
30,15,365.4
24,96,2124.57
211,4,53.95
187,2,52.0
25,389,1140.31
106,11,257.82
7,295,3354.28
208,13,112.8
43,48,355.05
30,56,1031.59
136,68,591.55
264,7,45.4
3,128,1976.95
217,22,188.60999999999999
1,200,1217.27
213,8,109.13000000000001
31,98,1512.3
10,322,1964.5
0,339,3097.34
14,22,318.17
10,393,1493.96
2,21,409.19
14,194,4796.24
13,136,599.48
9,337,1977.6200000000001
74,16,183.87
8,335,2410.8
23,9,79.55
24,69,744.28
42,50,257.11
1,235,1581.84
5,36,603.81
146,28,180.42000000000002
9,259,1122.3600000000001
24,45,535.08
273,7,116.03
373,71,313.49
0,462,1897.57
46,45,380.02
7,144,2453.79
15,112,2546.69
3,145,3265.25
3,5,123.3
42,51,1103.25
3,22,486.48
196,88,1380.41
11,52,970.74
15,18,237.48
112,68,1149.46
248,18,328.2
28,89,1415.75
43,2,69.6
86,30,563.15
44,41,638.05
9,223,4395.4400000000005
14,38,738.96
74,19,420.5
144,69,1374.46
4,102,1625.97
296,5,89.2
58,9,158.10000000000002
263,21,300.52
46,3,79.8
28,39,254.11
7,127,2097.09
126,3,80.10000000000001
2,1053,9853.82
231,52,876.42
111,9,139.26
57,57,864.3
50,109,2007.9
126,31,525.06
280,41,386.15
54,27,447.68
319,5,110.10000000000001
25,15,289.99
9,3,77.4
6,27,483.99
28,5,138.24
16,45,660.0600000000001
63,2,6.2
20,14,228.99
2,78,1214.11
165,6,131.45000000000002
0,1121,7265.57
52,12,173.74
50,13,157.7
47,378,3990.29
60,57,189.34
161,39,252.15
8,8,143.72
14,45,475.6
74,11,193.39000000000001
39,221,1929.4199999999998
40,254,2085.33
369,29,152.88
36,53,778.5
196,2,21.85
199,61,1010.34
73,46,507.8
63,11,176.07
20,29,507.29
366,2,48.800000000000004
179,70,321.43
9,20,479.06
3,117,2034.01
196,2,46.08
28,42,697.55
52,39,188.88
17,60,1251.96
9,6,102.44999999999999
89,108,1649.5
267,4,62.85
52,132,2994.23
43,142,2420.01
63,121,2044.49
148,12,256.3
21,368,6640.85
311,21,325.75
22,27,448.35
57,143,2836.69
23,7,125.4
77,117,1956.13
118,14,315.65
35,62,1025.21
59,60,1173.12
12,56,1243.54
18,11,170.32
51,6,125.79
25,48,841.1999999999999
28,10,202.07999999999998
6,4,52.2
10,30,331.1
185,36,710.28
2,135,2517.09
8,70,721.45
261,11,196.75
2,93,501.28000000000003
209,28,519.68
107,40,717.72
12,117,1102.89
76,46,690.59
19,17,255.4
26,4,107.4
18,53,761.59
131,4,95.52
252,18,364.8
206,20,369.2
335,10,135.9
253,7,125.65
147,33,554.38
9,73,1237.8500000000001
84,19,392.6
7,463,8912.16
204,43,468.77000000000004
7,51,1136.48
22,106,1034.32
10,90,1085.61
25,20,332.66
20,349,2750.33
1,66,797.62
157,13,300.55
2,158,3040.33
73,7,153.2
2,30,434.35
0,5089,89434.51
16,21,490.69
35,84,1063.63
90,11,224.07999999999998
70,75,1171.78
115,31,714.6500000000001
212,57,977.77
29,77,1266.57
50,43,702.3
245,8,137.65
31,10,172.88
108,124,2210.26
4,36,720.6800000000001
365,16,313.53
81,80,1481.74
33,345,6656.1
56,22,641.52
29,132,2961.03
13,3,100.9
71,13,240.9
22,62,1042.27
18,18,321.4
78,20,311.69
59,74,1579.09
24,54,285.67
11,77,294.85
252,12,58.49
146,41,483.72999999999996
63,58,641.34
7,26,153.77
10,291,5610.11
270,4,56.5
9,187,1150.69
246,12,104.45
95,79,471.59
14,36,183.02
49,2,30.0
29,37,147.59
67,14,228.86
34,155,1097.98
127,18,114.77
106,29,564.45
36,17,89.94
56,8,131.89
56,70,689.86
71,213,1873.67
245,8,102.12
18,39,202.37
197,83,292.01
211,39,289.54
38,60,231.98000000000002
45,23,408.68
169,73,371.07
47,77,490.52
115,111,1405.1100000000001
146,153,1108.27
15,1112,6295.37
50,132,480.38
158,12,156.91
11,179,1214.43
35,20,308.94
53,122,405.04
42,32,175.17000000000002
172,20,170.04
33,20,125.58
38,30,445.21000000000004
266,66,252.81
8,444,1871.77
11,121,852.39
2,545,5855.33
9,149,1501.78
32,67,361.96
79,60,392.5
30,28,534.55
7,44,409.73
267,2,51.0
3,109,581.19
255,28,339.1
4,498,2409.16
15,381,3489.46
89,27,252.73000000000002
71,119,429.56
58,124,636.24
9,1419,14320.89
169,66,179.93
198,4,59.43
18,432,6982.38
151,5,79.96000000000001
8,169,2347.09
269,22,343.62
64,94,381.0
273,2,40.050000000000004
24,64,989.37
22,139,1203.96
318,27,127.83
4,68,643.95
11,114,302.1
274,8,242.4
24,264,2010.14
40,237,1337.72
7,115,294.25
3,138,3097.0499999999997
70,57,987.86
212,4,115.6
37,150,2693.63
52,39,730.19
77,76,1347.3
45,104,553.36
178,70,1109.53
93,20,374.46999999999997
9,50,814.45
104,41,735.67
77,22,443.07
172,48,830.45
6,436,9535.39
212,43,610.5600000000001
21,33,504.8
256,5,88.2
281,14,246.46
20,55,1027.3700000000001
9,141,2169.4900000000002
307,23,381.32
67,30,480.71
214,26,457.81
17,71,1176.68
103,41,1052.34
42,10,172.59
3,25,248.08
83,21,287.05
8,6,150.73000000000002
30,34,618.36
196,67,993.54
17,93,1576.31
17,100,1422.52
310,15,268.5
141,56,1093.25
245,28,484.95
23,29,571.95
28,84,1567.48
9,65,1222.83
29,196,2709.56
17,21,340.11
17,37,723.5600000000001
14,77,1199.78
245,14,266.4
133,21,358.82
49,28,457.72
113,79,1458.28
6,100,1811.59
22,15,184.19
112,31,793.0799999999999
65,14,299.73
59,101,1421.2
49,65,1321.18
169,22,330.11
17,50,806.8100000000001
127,21,403.1
14,69,1192.69
238,9,139.05
2,66,1189.5
239,13,178.96
51,68,1584.61
45,24,395.24
225,14,259.45
7,179,4178.88
3,64,1040.43
164,90,1245.56
239,26,484.9
10,20,301.29
133,20,348.90000000000003
16,341,5291.33
9,270,4700.84
30,22,329.25
74,71,254.28
0,52,821.44
3,121,1695.07
44,4,93.96
1,601,11002.5
356,3,51.96
17,28,235.17000000000002
68,101,824.58
372,27,487.75
320,39,158.8
25,4,58.86
8,110,1624.05
322,11,135.75
71,23,224.14
259,3,40.5
17,84,1550.31
366,6,87.5
65,12,226.07999999999998
153,29,622.85
28,62,402.2
69,20,230.72
13,19,411.41
1,63,1322.42
3,92,1877.8100000000002
119,47,816.3199999999999
60,17,357.72
2,280,5268.52
10,29,476.61
91,10,193.64
235,3,81.75
86,68,1116.54
25,142,1827.8
356,6,142.38
84,36,565.64
145,3,53.10000000000001
0,39,703.62
224,19,281.23
59,52,894.4100000000001
240,5,101.8
318,24,328.35
1,110,1661.44
46,33,624.84
87,1,33.0
10,129,2469.14
175,7,136.75
51,115,1687.16
225,15,278.75
357,11,160.48000000000002
233,23,409.40000000000003
310,8,154.41
36,58,1219.4
65,109,2366.53
240,21,310.8
112,30,562.06
276,14,197.0
217,143,2247.51
298,14,231.05
1,99,1412.32
28,47,728.39
9,49,780.59
44,69,1258.27
66,105,1480.52
73,22,316.68
64,33,560.77
133,81,1587.94
237,33,514.15
121,2,45.199999999999996
31,340,6138.56
90,5,182.88
35,44,740.78
15,53,918.1999999999999
126,18,300.36
66,43,665.45
148,6,98.45
282,6,152.14999999999998
168,34,623.16
99,72,1532.6200000000001
134,19,254.82
323,10,178.95000000000002
106,12,156.51
63,23,393.74
150,81,1442.37
337,6,119.3
15,26,680.45
6,263,2449.99
56,63,721.94
3,47,716.57
37,41,615.14
65,49,128.63
46,11,210.89999999999998
354,19,290.51
171,16,113.12
58,139,2332.15
21,17,253.29000000000002
42,65,913.47
28,56,749.94
4,143,3666.91
25,74,1442.04
200,24,178.39
50,191,3345.02
9,39,641.94
1,182,3269.42
63,28,496.44
50,237,4148.45
289,31,574.02
60,16,311.90000000000003
63,57,1072.35
95,12,205.3
273,19,310.47
0,1955,13284.63
74,45,795.85
198,24,327.97
63,37,570.5
3,32,265.21999999999997
283,16,204.5
43,35,197.53
70,81,1899.21
85,42,679.68
103,48,161.74
333,29,311.71
52,10,208.75
38,56,973.2
31,8,180.96
369,15,391.5
207,10,184.9
156,98,350.82
53,35,170.22
65,86,574.07
129,24,406.09
86,21,364.5
0,25,512.94
45,20,393.54
332,17,252.42000000000002
365,4,81.60000000000001
71,9,158.04
157,71,463.90999999999997
372,5,115.65
11,216,1784.96
254,58,579.47
28,13,229.35000000000002
30,499,2718.03
4,541,7763.74
39,8,192.58
361,5,139.8
372,16,326.0
95,25,452.63
25,110,1915.92
74,44,602.51
56,91,1655.44
20,1,16.5
59,84,1565.75
136,4,120.96
7,119,1598.56
128,1,25.200000000000003
39,116,1221.56
168,187,3314.4100000000003
8,25,431.15999999999997
267,5,143.1
14,288,5175.61
169,41,642.41
39,11,158.96
185,31,394.14
269,10,140.54
4,81,1309.57
15,12,231.86
9,80,1874.64
325,7,107.45
112,12,169.18
289,6,94.0
15,73,1345.53
0,49,765.85
127,3,50.2
148,40,536.05
188,5,84.14
30,52,463.01
33,146,784.24
263,34,267.18
83,104,2184.64
25,96,1248.43
170,9,88.53
9,36,613.14
312,47,559.61
64,183,3347.34
84,28,508.8
24,8,135.86
58,53,950.36
322,6,97.7
37,2,43.5
253,15,277.86
18,272,1232.71
32,292,1430.54
14,6,93.78
26,82,397.35
22,10,171.19
213,41,533.3
7,52,861.48
21,29,149.29
11,291,1067.75
261,45,200.16
130,25,156.57999999999998
54,61,341.18
1,370,3118.44
8,214,1411.21
263,5,113.5
330,9,155.17
312,28,494.64
25,60,974.52
29,30,429.84
29,56,528.48
1,279,1371.77
361,25,179.1
282,58,434.59000000000003
261,58,237.07
24,7,161.64
353,56,214.26
93,9,144.6
28,7,126.14
337,154,984.75
19,55,1059.15
84,57,334.53
8,51,478.08
50,24,467.51
49,23,455.35
1,72,372.88
112,76,371.56
76,28,406.31
39,35,715.54
115,43,736.65
15,19,624.62
160,84,225.26
0,168,2282.38
29,67,1222.84
92,1,15.0
22,44,798.04
94,145,2525.62
27,34,609.4599999999999
32,288,1902.41
20,120,1170.78
17,3,90.0
2,448,7975.41
7,68,1131.56
15,174,3330.2599999999998
362,66,141.04
80,13,52.83
52,67,1014.6
22,159,852.08
171,45,475.86
188,90,910.27
11,158,900.53
155,7,121.0
32,199,3705.2400000000002
11,150,1840.26
44,15,62.43
232,27,267.03
63,210,1921.55
1,18,343.5
39,178,2145.46
32,56,397.99
83,8,97.01
1,156,734.37
32,3,29.04
18,151,1662.92
253,25,171.33
22,658,3754.1
21,105,1396.81
7,218,1917.64
24,251,1564.73
18,82,728.37
172,72,502.9
162,24,110.92
6,39,417.26
10,15,213.3
113,29,85.13000000000001
287,28,127.86
8,259,3546.71
53,80,288.96999999999997
6,691,4550.8
76,110,1413.96
3,61,575.63
36,29,436.06
216,17,90.12
59,55,428.93
277,14,217.2
11,883,4544.96
23,30,229.76999999999998
28,18,378.91
11,23,444.59
21,110,1248.34
49,8,173.16
18,6,86.17
2,52,658.69
131,20,71.91
6,318,4103.82
11,53,367.5
4,202,1877.73
31,97,591.1899999999999
177,152,675.64
37,40,547.33
150,39,258.88
161,13,127.1
68,48,327.6
155,142,667.03
24,44,682.9100000000001
23,121,675.86
176,31,455.3
49,2,61.199999999999996
255,29,478.53000000000003
46,23,328.58
70,3,45.0
15,103,1771.78
100,77,1406.59
34,22,324.57
52,14,240.68
26,52,761.74
10,404,6398.96
7,36,650.47
78,2,48.480000000000004
51,17,216.39
35,66,1147.83
60,43,918.88
336,13,104.76
27,59,986.4
183,16,298.48
51,6,112.46000000000001
9,33,709.24
35,5,105.9
9,386,7300.74
32,45,776.851
56,100,1553.18
3,7,61.85
42,183,3614.61
140,19,301.03
116,34,588.13
103,60,1284.6599999999999
74,49,675.8
4,154,2804.2400000000002
44,57,1022.15
15,154,2484.61
16,15,243.55
89,20,427.06
52,15,223.36
133,25,425.32
3,427,7871.83
104,118,1827.8
191,31,546.6
165,232,803.54
18,50,483.01000000000005
157,35,447.64000000000004
203,21,483.1
36,29,442.38
90,20,287.94
115,4,48.0
8,12,272.01
242,34,560.67
44,47,748.5
22,1,30.0
189,46,896.6
43,10,256.95
24,86,1418.66
316,3,19.8
105,9,138.14
50,17,386.43
167,114,2150.81
39,13,301.32
39,31,512.5
296,12,173.05
18,67,1207.83
87,131,2172.87
72,111,2021.89
80,21,323.69
18,199,3274.06
48,32,612.68
52,11,290.3
23,110,781.28
8,76,1226.28
24,44,934.06
116,10,193.75
8,165,2942.1
119,8,173.1
3,18,192.96
27,12,191.04
7,28,526.6
266,22,409.98
32,167,2651.16
17,18,309.65
171,86,696.68
1,230,1529.0
264,4,104.4
139,108,1687.54
200,5,83.1
64,53,902.16
34,204,871.98
40,269,3008.25
283,6,133.25
8,51,871.0
142,18,303.6
11,34,330.03000000000003
145,114,890.39
233,7,150.3
32,931,5030.07
23,127,536.33
11,83,400.6
35,52,940.87
364,38,190.7
200,11,218.25
14,32,415.25
16,292,4243.26
212,5,85.0
65,70,1120.88
211,14,294.12
282,10,162.3
114,19,437.2
14,71,1188.1200000000001
18,140,2717.39
65,3,77.6
48,9,154.88
15,86,775.96
77,3,34.8
18,61,1035.19
133,28,196.88
12,87,737.84
39,20,144.36
2,291,2463.05
39,404,2576.2
50,28,458.57
9,141,2364.25
60,191,528.01
65,45,714.42
24,9,205.25
296,5,117.03999999999999
64,37,583.75
31,60,1007.02
87,176,2911.38
63,8,131.46
115,26,371.83
234,1,40.68
5,9,147.52
68,25,270.8
244,7,104.9
132,18,241.62
240,14,227.36
183,29,475.28000000000003
24,20,345.46
9,18,543.4200000000001
10,14,246.3
32,66,1051.57
45,264,4800.2
25,200,933.26
357,25,351.3
9,34,218.75
43,72,1427.44
14,2,57.21
149,42,610.01
0,127,2375.1600000000003
318,1,15.0
75,97,833.14
106,117,696.89
45,64,1063.95
50,4,75.9
0,261,3956.39
22,290,4826.38
45,27,412.98
49,47,854.4
305,177,2577.37
35,35,515.77
78,89,1391.98
21,132,2170.92
106,31,346.58
207,30,482.51
16,61,1116.73
63,30,576.82
48,122,1854.45
319,16,116.97999999999999
43,62,570.96
2,29,644.17
371,1,15.0
171,18,224.94
55,64,1386.47
72,115,1836.0900000000001
98,51,636.14
37,39,576.0
57,62,574.89
253,54,836.79
69,265,1873.15
43,48,858.39
49,10,137.37
64,24,391.98
24,13,424.68
32,61,1003.9399999999999
58,27,355.56
72,40,622.36
303,8,118.95000000000002
45,11,130.73999999999998
17,120,2723.07
37,21,328.79
18,93,234.88
196,21,103.21000000000001
51,30,110.8
3,122,1098.6200000000001
136,80,712.24
3,514,6150.68
18,13,215.4
15,185,1224.65
40,139,965.16
11,539,2981.92
7,147,832.88
25,18,68.84
66,6,91.4
40,37,693.43
100,43,211.89
4,457,3706.94
276,15,149.64
32,74,351.44
14,108,316.25
63,84,1092.85
1,126,490.33
368,96,329.03000000000003
311,26,241.74
198,18,253.56
1,49,396.48
92,17,328.35
59,11,123.09
80,11,91.81
156,85,420.07
226,60,511.68
252,36,184.0
149,10,42.01
193,21,98.09
0,81,877.58
368,4,56.25
23,47,337.28
16,111,351.73
25,38,507.96000000000004
7,30,164.68
19,148,1471.69
3,226,882.72
173,5,69.53999999999999
0,266,1228.88
177,19,264.62
15,148,1370.4
247,12,123.1
190,40,334.23
19,122,525.69
153,60,167.5
172,22,192.41
372,9,248.9
372,21,127.08
193,12,207.15
66,21,426.63
3,102,1554.35
20,73,1062.46
238,11,108.03999999999999
63,7,145.35
111,15,254.58
89,36,795.5899999999999
310,1,35.8
133,13,292.44
276,4,68.9
364,1,13.6
82,21,524.64
7,60,955.24
16,19,364.72
31,95,1629.02
8,41,708.22
33,84,781.91
14,89,1029.68
23,169,3508.61
31,41,378.49
73,6,60.9
19,28,470.76
16,110,749.87
22,80,397.68
2,17,463.3
303,7,114.9
52,12,273.05
366,2,34.4
38,170,2915.35
83,24,371.01
164,96,427.64
16,59,770.33
76,46,928.14
88,19,494.52
24,76,1788.48
21,106,1092.54
2,248,1890.21
122,32,724.58
29,14,168.12
11,122,597.63
18,26,156.78
43,50,693.51
3,3,41.989999999999995
8,543,2777.67
54,29,271.75
87,127,1032.58
36,503,3032.52
29,92,1456.17
11,201,578.71
210,8,101.4
47,381,1693.81
23,33,478.78
31,80,870.15
245,79,392.4
7,203,2993.7599999999998
34,86,868.9399999999999
7,43,944.9
37,138,646.83
3,180,619.23
2,224,1465.51
46,32,211.88
38,26,313.98
46,145,2293.14
16,45,749.01
259,70,560.13
45,101,719.81
11,63,251.03
29,28,439.65999999999997
42,32,236.09
136,8,138.9
80,9,284.4
309,29,331.24
91,98,547.9
5,1121,8366.67
195,21,366.3
86,53,645.88
269,37,669.32
7,26,471.78000000000003
64,63,1217.45
21,70,1177.47
37,37,648.59
119,82,1295.7
372,4,54.839999999999996
39,299,1074.81
173,10,137.9
53,34,362.06
32,79,1252.75
144,70,783.9
220,8,134.8
44,66,650.75
15,121,2263.12
65,178,1453.16
9,59,693.72
259,23,335.32
364,73,367.14
16,94,1054.81
21,28,419.78999999999996
44,21,326.24
287,19,326.97
2,124,1945.29
16,10,159.14
81,10,217.16
55,221,2650.22
100,20,392.78000000000003
298,37,390.28
22,167,981.51
58,35,842.91
154,18,315.06
114,51,817.86
106,1,17.0
11,61,982.23
263,11,195.62
239,10,185.04999999999998
87,53,861.39
49,39,731.9
70,76,1290.7
41,44,936.14
6,38,754.14
61,27,247.36
248,11,165.6
65,6,108.38
28,10,195.3
84,48,842.5
218,14,236.4
44,342,1320.95
142,15,143.9
182,30,161.38
170,8,135.75000000000003
9,279,1660.8799999999999
211,34,612.78
189,30,232.21
7,14,317.16
58,20,433.35999999999996
56,204,854.66
72,37,559.62
51,16,307.78
316,11,249.0
366,12,244.35000000000002
28,44,1292.35
38,39,609.45
17,82,1508.22
51,47,1055.02
3,230,3667.18
21,35,618.09
262,20,342.35
59,36,661.6800000000001
18,30,585.91
65,33,542.3
87,30,620.4
249,37,535.34
2,113,1946.52
8,218,3476.9900000000002
203,26,486.33
133,22,375.0
4,18,280.52
42,117,2053.02
268,10,290.5
49,85,1572.59
8,117,2255.79
15,13,310.55
281,13,303.2
64,8,162.72
1,469,5440.42
251,2,37.4
364,3,50.1
16,30,568.5
10,74,1528.3700000000001
7,79,1446.59
50,124,1838.25
58,3,73.2
94,67,1021.41
15,83,1373.77
125,20,376.75
93,58,1037.59
49,15,331.95
137,7,150.1
60,11,215.83
99,104,2046.88
72,10,163.94
71,5,102.64999999999999
66,14,255.31
63,40,913.83
16,31,529.41
22,214,3785.34
31,271,5519.57
44,67,981.86
15,10,155.48
39,5,125.23000000000002
2,94,1564.7
236,19,314.45
74,15,400.68100000000004
3,172,1068.8700000000001
2,110,1809.39
360,17,301.67
58,35,592.9
22,50,384.18
30,94,577.63
54,62,466.26
24,16,252.58
44,66,664.26
88,43,803.18
1,74,1613.24
88,22,371.82000000000005
18,41,690.34
78,5,82.5
170,42,862.95
80,14,242.35
266,34,639.83
234,14,238.85000000000002
29,57,1162.58
36,94,809.86
317,122,773.5500000000001
56,96,1295.3
44,132,1007.22
202,6,124.32000000000001
224,4,64.02
86,41,672.1
189,35,542.03
43,28,503.83
70,20,389.28000000000003
40,45,824.31
77,19,382.40000000000003
56,18,363.2
23,122,2050.34
9,655,2590.31
7,290,3490.16
33,50,324.1
211,91,1522.75
23,90,1413.66
169,16,114.56
61,7,152.94
52,57,1030.49
260,24,389.44
66,96,2119.91
16,270,2619.91
266,5,98.55000000000001
176,2,46.95
44,101,2151.25
